id,created_at,startDate,endDate,numNights,numGuests,cabinPrice,extrasPrice,totalPrice,status,hasBreakfast,isPaid,observations,cabinId,guestId
726,2023-11-17 20:54:16.522+00,11/17/2024 0:00,12/3/2024 0:00,16,2,5200,0,5200,checked-out,FALSE,TRUE,,361,491
727,2023-12-30 20:54:16.522+00,1/16/2024 0:00,1/19/2024 0:00,3,2,975,90,1065,unconfirmed,TRUE,TRUE,,361,492
729,2023-10-28 20:54:16.522+00,12/7/2024 0:00,12/12/2024 0:00,5,4,1500,300,1800,checked-out,TRUE,TRUE,,362,494
730,2023-12-30 20:54:16.522+00,12/30/2024 0:00,1/1/2025 0:00,2,3,600,0,600,checked-in,FALSE,TRUE,We will be bringing our small dog with us,362,495
731,2023-12-18 20:54:16.522+00,12/18/2024 0:00,12/21/2024 0:00,3,4,900,180,1080,checked-out,TRUE,TRUE,,362,496
732,2023-12-02 20:54:16.522+00,12/28/2024 0:00,1/9/2025 0:00,12,4,5400,720,6120,checked-in,TRUE,TRUE,,363,497
733,2023-12-31 20:54:16.522+00,1/13/2025 0:00,1/18/2025 0:00,5,4,2250,300,2550,unconfirmed,TRUE,FALSE,,363,498
736,2023-12-26 20:54:16.522+00,12/26/2023 0:00,12/28/2023 0:00,2,4,700,120,820,checked-out,TRUE,TRUE,,364,501
737,2023-12-28 20:54:16.522+00,12/28/2023 0:00,12/31/2023 0:00,3,6,1050,0,1050,checked-out,FALSE,TRUE,,364,502
738,2023-12-29 20:54:16.522+00,1/1/2024 0:00,1/12/2024 0:00,11,6,7700,0,7700,unconfirmed,FALSE,TRUE,"We will be checking in late, around midnight. Hope that's okay :)",365,503
739,2023-12-16 20:54:16.522+00,12/16/2023 0:00,12/23/2023 0:00,7,4,4900,420,5320,checked-out,TRUE,TRUE,I will need a rollaway bed for one of the guests,365,504
740,2023-12-14 20:54:16.522+00,12/28/2023 0:00,12/31/2023 0:00,3,6,2100,270,2370,checked-out,TRUE,TRUE,,365,505
741,2023-12-30 20:54:16.522+00,1/18/2024 0:00,1/24/2024 0:00,6,8,3000,0,3000,unconfirmed,FALSE,FALSE,,366,506
742,2023-12-25 20:54:16.522+00,2/10/2024 0:00,2/20/2024 0:00,10,7,5000,1050,6050,unconfirmed,TRUE,TRUE,,366,507
743,2023-11-07 20:54:16.522+00,2/2/2024 0:00,2/7/2024 0:00,5,6,2500,450,2950,unconfirmed,TRUE,TRUE,,366,508
744,2023-12-24 20:54:16.522+00,12/27/2023 0:00,1/1/2024 0:00,5,9,7000,675,7675,checked-in,TRUE,TRUE,My wife has a gluten allergy so I would like to request a gluten-free breakfast if possible,367,487
745,2024-01-01 20:54:16.522+00,1/1/2024 0:00,1/6/2024 0:00,5,10,7000,750,7750,unconfirmed,TRUE,TRUE,"I am celebrating my anniversary, can you arrange for any special amenities or decorations?",367,509
723,2023-12-12 20:54:16.521+00,1/1/2025 0:00,1/8/2025 0:00,7,1,1750,105,1855,unconfirmed,TRUE,FALSE,I have a gluten allergy and would like to request a gluten-free breakfast.,360,488
746,2023-12-22 20:54:16.522+00,1/11/2025 0:00,1/14/2024 0:00,3,7,4200,0,4200,unconfirmed,FALSE,TRUE,,367,510
735,2024-01-01 20:54:16.522+00,1/15/2025 0:00,1/22/2025 0:00,7,5,2450,525,2975,unconfirmed,TRUE,FALSE,,364,500
724,2023-11-29 20:54:16.522+00,12/9/2025 0:00,12/19/2025 0:00,10,2,2500,300,2800,checked-out,TRUE,TRUE,,360,489
725,2023-12-05 20:54:16.522+00,1/13/2025 0:00,1/19/2024 0:00,6,2,1500,0,1500,unconfirmed,FALSE,FALSE,,360,490
728,2023-12-27 20:54:16.522+00,2/3/2024 0:00,2/18/2024 0:00,15,2,4875,450,5325,checked-in,TRUE,FALSE,,361,493
