id,created_at,startDate,endDate,numNights,numGuests,cabinPrice,extrasPrice,totalPrice,status,hasBreakfast,isPaid,observations,cabinId,guestId
723,2024-10-26 19:54:16+00,2025-01-11 00:00:00,2025-01-10 00:00:00,7,1,1750,105,1855,unconfirmed,true,false,I have a gluten allergy and would like to request a gluten-free breakfast.,360,488
724,2024-10-17 19:54:16+00,2025-01-10 00:00:00,2025-01-11 00:00:00,10,2,2500,300,2800,checked-in,true,true,,360,489
725,2024-10-24 19:54:16+00,2024-10-26 00:00:00,2024-01-19 00:00:00,6,2,1500,0,1500,unconfirmed,false,false,,360,490
726,2024-10-23 19:54:16+00,2024-11-17 00:00:00,2024-12-03 00:00:00,16,2,5200,0,5200,checked-out,false,true,,361,491
727,2024-09-30 19:54:16+00,2025-01-11 00:00:00,2024-01-19 00:00:00,3,2,975,90,1065,unconfirmed,true,true,,361,492
728,2023-12-27 20:54:16.522+00,2024-02-03 00:00:00,2024-10-26 00:00:00,15,2,4875,450,5325,checked-in,true,false,,361,493
729,2024-10-17 00:00:00+00,2024-12-07 00:00:00,2024-12-12 00:00:00,5,4,1500,300,1800,checked-out,true,true,,362,494
730,2023-12-30 20:54:16.522+00,2024-12-30 00:00:00,2025-01-01 00:00:00,2,3,600,0,600,checked-in,false,true,We will be bringing our small dog with us,362,495
732,2023-12-02 20:54:16.522+00,2025-01-10 00:00:00,2025-01-10 00:00:00,12,4,5400,720,6120,checked-in,true,true,,363,497
733,2023-12-31 20:54:16.522+00,2025-01-13 00:00:00,2025-01-18 00:00:00,5,4,2250,300,2550,unconfirmed,true,false,,363,498
735,2024-01-01 20:54:16.522+00,2025-01-15 00:00:00,2025-01-22 00:00:00,7,5,2450,525,2975,unconfirmed,true,false,,364,500
737,2024-12-17 00:00:00+00,2023-12-28 00:00:00,2023-12-31 00:00:00,3,6,1050,0,1050,checked-out,false,true,,364,502
738,2023-12-29 20:54:16.522+00,2024-01-01 00:00:00,2024-01-12 00:00:00,11,6,7700,0,7700,unconfirmed,false,true,"We will be checking in late, around midnight. Hope that's okay :)",365,503
739,2024-12-17 00:00:00+00,2023-12-16 00:00:00,2023-12-23 00:00:00,7,4,4900,420,5320,checked-out,true,true,I will need a rollaway bed for one of the guests,365,504
740,2025-01-07 00:00:00+00,2023-12-28 00:00:00,2023-12-31 00:00:00,3,6,2100,270,2370,checked-out,true,true,,365,505
741,2024-12-17 00:00:00+00,2025-01-11 00:00:00,2025-01-17 00:00:00,6,8,3000,0,3000,unconfirmed,false,false,,366,517
760,2025-01-09 08:53:01+00,2025-01-09 10:00:00,2025-01-16 22:00:00,29,2,9425,0,9425,checked-in,false,false,iam 17st,361,517
